(S) Susceptiveis, (E) Expostos, (I) Infectados, (R) Recuperados, (D_E) Expostos detectados, (D_I) Infectados detectados, (M) Mortes
4792868,7646,33494,16206602,0,0,88
4791707,7362,32285,16209256,0,0,88
4790589,7088,31120,16211813,0,0,88
4789512,6824,29997,16214278,0,0,88
4788473,6571,28913,16216653,0,0,88
4787473,6329,27866,16218943,0,0,88
4786508,6097,26855,16221150,0,0,88
4785579,5876,25878,16223278,0,0,88
4784683,5664,24934,16225329,0,0,88
4783819,5461,24023,16227306,0,0,88
4782987,5267,23144,16229212,0,0,88
4782186,5078,22298,16231048,0,0,88
4781414,4895,21485,16232816,0,0,88
4780671,4714,20705,16234519,0,0,88
4779955,4539,19956,16236159,0,0,88
4779266,4370,19234,16237740,0,0,88
4778601,4207,18538,16239263,0,0,88
4777961,4051,17867,16240731,0,0,88
4777344,3902,17218,16242146,0,0,88
4776750,3759,16591,16243510,0,0,88
4776176,3623,15986,16244825,0,0,88
4775624,3493,15401,16246092,0,0,88
4775092,3368,14837,16247313,0,0,88
4774579,3248,14293,16248490,0,0,88
4774085,3131,13770,16249624,0,0,88
4773609,3018,13268,16250716,0,0,88
4773151,2906,12786,16251767,0,0,88
4772710,2798,12322,16252780,0,0,88
4772284,2694,11876,16253756,0,0,88
4771875,2594,11445,16254696,0,0,88
4771480,2497,11030,16255603,0,0,88
4771100,2406,10629,16256476,0,0,88
4770733,2318,10241,16257318,0,0,88
4770380,2234,9867,16258130,0,0,88
4770039,2154,9505,16258912,0,0,88
4769711,2077,9157,16259666,0,0,88
4769395,2002,8821,16260392,0,0,88
4769090,1931,8498,16261092,0,0,88
4768797,1860,8187,16261765,0,0,88
4768515,1791,7890,16262414,0,0,88
4768243,1725,7604,16263039,0,0,88
4767980,1660,7328,16263641,0,0,88
4767728,1599,7062,16264222,0,0,88
4767485,1539,6805,16264781,0,0,88
4767250,1483,6557,16265320,0,0,88
4767024,1429,6318,16265839,0,0,88
4766806,1377,6087,16266340,0,0,88
4766596,1328,5864,16266823,0,0,88
4766394,1280,5648,16267288,0,0,88
4766199,1234,5441,16267736,0,0,88
4766011,1190,5241,16268167,0,0,88
4765830,1147,5050,16268583,0,0,88
4765656,1104,4867,16268983,0,0,88
4765489,1063,4690,16269368,0,0,88
4765327,1023,4520,16269740,0,0,88
4765171,985,4356,16270098,0,0,88
4765021,949,4197,16270443,0,0,88
4764877,914,4044,16270775,0,0,88
4764738,881,3896,16271096,0,0,88
4764603,849,3754,16271404,0,0,88
4764474,818,3616,16271702,0,0,88
4764349,789,3483,16271989,0,0,88
4764229,761,3355,16272265,0,0,88
4764113,733,3232,16272531,0,0,88
4764002,707,3114,16272788,0,0,88
4763894,680,3001,16273034,0,0,88
4763791,655,2892,16273272,0,0,88
4763692,631,2787,16273501,0,0,88
4763596,607,2686,16273722,0,0,88
4763503,585,2588,16273934,0,0,88
4763414,563,2493,16274139,0,0,88
4763328,543,2402,16274337,0,0,88
4763245,523,2314,16274527,0,0,88
4763166,504,2229,16274711,0,0,88
4763089,486,2147,16274888,0,0,88
4763015,469,2068,16275058,0,0,88
4762943,452,1993,16275222,0,0,88
4762875,435,1920,16275380,0,0,88
4762808,419,1850,16275532,0,0,88
4762745,404,1783,16275679,0,0,88
4762683,388,1718,16275820,0,0,88
4762624,374,1656,16275956,0,0,88
4762567,360,1595,16276087,0,0,88
4762512,347,1537,16276214,0,0,88
4762459,334,1481,16276336,0,0,88
4762408,322,1427,16276453,0,0,88
4762359,311,1374,16276566,0,0,88
4762312,300,1324,16276675,0,0,88
4762266,289,1275,16276780,0,0,88
4762222,278,1228,16276881,0,0,88
4762180,268,1183,16276979,0,0,88
4762139,258,1140,16277072,0,0,88
4762100,249,1099,16277163,0,0,88
4762062,239,1059,16277250,0,0,88
4762025,230,1021,16277334,0,0,88
4761990,222,983,16277415,0,0,88
4761956,214,947,16277493,0,0,88
4761924,206,913,16277568,0,0,88
4761892,198,879,16277640,0,0,88
4761862,191,847,16277710,0,0,88
4761833,184,816,16277777,0,0,88
4761805,178,786,16277842,0,0,88
4761777,171,757,16277904,0,0,88
4761751,165,729,16277964,0,0,88
4761726,159,703,16278022,0,0,88
4761702,153,677,16278078,0,0,88
4761679,147,653,16278131,0,0,88
4761656,142,629,16278183,0,0,88
4761635,137,606,16278233,0,0,88
4761614,132,584,16278281,0,0,88
4761594,127,562,16278327,0,0,88
4761574,122,542,16278372,0,0,88
4761555,118,522,16278415,0,0,88
4761537,114,503,16278456,0,0,88
4761520,109,484,16278496,0,0,88
4761503,105,466,16278535,0,0,88
4761487,102,449,16278572,0,0,88
4761472,98,433,16278607,0,0,88
4761457,94,417,16278642,0,0,88
4761443,91,402,16278675,0,0,88
4761429,87,388,16278707,0,0,88
4761415,84,373,16278737,0,0,88
4761402,81,360,16278767,0,0,88
4761390,78,347,16278795,0,0,88
4761378,75,334,16278823,0,0,88
4761367,72,322,16278849,0,0,88
4761355,70,310,16278875,0,0,88
4761345,67,298,16278900,0,0,88
4761335,65,287,16278923,0,0,88
4761325,62,277,16278946,0,0,88
4761315,60,267,16278968,0,0,88
4761306,58,257,16278989,0,0,88
4761297,56,248,16279010,0,0,88
4761288,54,239,16279029,0,0,88
4761280,52,230,16279048,0,0,88
4761272,50,222,16279067,0,0,88
4761265,48,213,16279084,0,0,88
4761257,46,206,16279101,0,0,88
4761250,44,198,16279117,0,0,88
4761243,43,191,16279133,0,0,88
4761237,41,184,16279148,0,0,88
4761230,40,177,16279163,0,0,88
4761224,38,170,16279177,0,0,88
4761218,37,164,16279191,0,0,88
4761213,35,158,16279204,0,0,88
4761207,34,153,16279216,0,0,88
4761202,33,147,16279228,0,0,88
4761197,32,142,16279240,0,0,88
4761192,30,136,16279251,0,0,88
4761187,29,131,16279262,0,0,88
4761183,28,127,16279272,0,0,88
4761178,27,122,16279283,0,0,88
4761174,26,117,16279292,0,0,88
4761170,25,113,16279302,0,0,88
4761166,24,109,16279311,0,0,88
4761162,23,105,16279319,0,0,88
4761159,23,101,16279328,0,0,88
4761155,22,97,16279336,0,0,88
