(S) Susceptiveis, (E) Expostos, (I) Infectados, (R) Recuperados, (D_E) Expostos detectados, (D_I) Infectados detectados, (M) Mortes
693058,6825,25962,1786215,0,0,8
693751,6623,25194,1786492,0,0,8
694475,6429,24449,1786707,0,0,8
695229,6242,23725,1786864,0,0,8
696013,6062,23021,1786964,0,0,8
696825,5889,22339,1787007,0,0,8
697665,5722,21676,1786997,0,0,8
698531,5560,21033,1786935,0,0,8
699424,5404,20410,1786822,0,0,8
700342,5251,19808,1786660,0,0,8
701284,5100,19227,1786449,0,0,8
702250,4953,18665,1786191,0,0,8
703239,4811,18121,1785889,0,0,8
704250,4673,17594,1785544,0,0,8
705281,4539,17082,1785157,0,0,8
706334,4410,16586,1784730,0,0,8
707405,4285,16104,1784265,0,0,8
708496,4166,15637,1783761,0,0,8
709606,4050,15183,1783222,0,0,8
710733,3938,14742,1782647,0,0,8
711877,3831,14315,1782037,0,0,8
713038,3727,13900,1781395,0,0,8
714216,3625,13499,1780721,0,0,8
715409,3526,13110,1780015,0,0,8
716617,3430,12735,1779278,0,0,8
717841,3335,12372,1778513,0,0,8
719078,3242,12021,1777719,0,0,8
720330,3152,11681,1776897,0,0,8
721594,3065,11350,1776050,0,0,8
722871,2981,11030,1775177,0,0,8
724161,2900,10719,1774280,0,0,8
725462,2822,10418,1773359,0,0,8
726775,2746,10124,1772415,0,0,8
728099,2673,9840,1771448,0,0,8
729433,2603,9564,1770460,0,0,8
730778,2535,9295,1769452,0,0,8
732133,2468,9035,1768423,0,0,8
733498,2404,8783,1767375,0,0,8
734872,2342,8538,1766308,0,0,8
736256,2281,8302,1765222,0,0,8
737648,2221,8073,1764118,0,0,8
739049,2162,7852,1762997,0,0,8
740458,2104,7638,1761860,0,0,8
741875,2048,7431,1760706,0,0,8
743299,1994,7229,1759537,0,0,8
744731,1942,7034,1758353,0,0,8
746170,1891,6844,1757155,0,0,8
747616,1842,6659,1755943,0,0,8
749068,1795,6479,1754718,0,0,8
750526,1750,6304,1753480,0,0,8
751991,1706,6135,1752229,0,0,8
753461,1664,5969,1750966,0,0,8
754937,1623,5809,1749691,0,0,8
756419,1583,5653,1748405,0,0,8
757905,1545,5502,1747108,0,0,8
759397,1507,5355,1745801,0,0,8
760894,1470,5213,1744482,0,0,8
762396,1433,5076,1743154,0,0,8
763903,1397,4944,1741816,0,0,8
765414,1362,4816,1740469,0,0,8
766929,1327,4692,1739112,0,0,8
768448,1294,4571,1737747,0,0,8
769971,1261,4453,1736374,0,0,8
771498,1230,4338,1734993,0,0,8
773028,1200,4227,1733605,0,0,8
774562,1172,4118,1732209,0,0,8
776099,1144,4012,1730805,0,0,8
777639,1117,3909,1729395,0,0,8
779182,1091,3809,1727978,0,0,8
780728,1065,3712,1726555,0,0,8
782277,1040,3618,1725125,0,0,8
783829,1015,3527,1723689,0,0,8
785383,991,3439,1722247,0,0,8
786940,967,3353,1720800,0,0,8
788499,944,3270,1719347,0,0,8
790061,921,3189,1717889,0,0,8
791624,900,3110,1716426,0,0,8
793190,879,3034,1714958,0,0,8
794757,859,2959,1713486,0,0,8
796326,839,2886,1712009,0,0,8
797897,820,2815,1710528,0,0,8
799470,801,2746,1709043,0,0,8
801044,783,2679,1707553,0,0,8
802620,765,2614,1706060,0,0,8
804197,748,2552,1704564,0,0,8
805776,731,2490,1703063,0,0,8
807356,714,2430,1701560,0,0,8
808937,698,2372,1700053,0,0,8
810519,683,2316,1698543,0,0,8
812102,668,2261,1697030,0,0,8
813686,653,2207,1695514,0,0,8
815271,638,2156,1693995,0,0,8
816857,624,2105,1692474,0,0,8
818444,610,2056,1690950,0,0,8
820031,597,2008,1689424,0,0,8
821619,583,1962,1687895,0,0,8
823208,571,1916,1686365,0,0,8
824798,558,1872,1684832,0,0,8
826387,546,1829,1683297,0,0,8
827978,534,1788,1681761,0,0,8
829568,523,1747,1680222,0,0,8
831159,512,1707,1678682,0,0,8
832750,501,1668,1677141,0,0,8
834342,491,1630,1675598,0,0,8
835934,481,1593,1674053,0,0,8
837525,470,1557,1672507,0,0,8
839118,460,1523,1670959,0,0,8
840710,451,1489,1669411,0,0,8
842302,441,1456,1667861,0,0,8
843894,432,1424,1666310,0,0,8
845486,423,1393,1664758,0,0,8
847078,414,1362,1663205,0,0,8
848670,406,1332,1661652,0,0,8
850262,398,1303,1660097,0,0,8
851854,390,1275,1658542,0,0,8
853445,382,1247,1656986,0,0,8
855036,374,1220,1655430,0,0,8
856627,367,1194,1653872,0,0,8
858217,359,1169,1652315,0,0,8
859808,352,1144,1650756,0,0,8
861398,345,1120,1649198,0,0,8
862987,338,1096,1647639,0,0,8
864576,331,1073,1646079,0,0,8
866165,325,1051,1644520,0,0,8
867753,318,1029,1642960,0,0,8
869340,312,1007,1641400,0,0,8
870927,307,986,1639840,0,0,8
872514,301,965,1638280,0,0,8
874100,295,945,1636720,0,0,8
875685,289,926,1635159,0,0,8
877270,284,907,1633599,0,0,8
878854,278,889,1632038,0,0,8
880438,273,871,1630478,0,0,8
882021,267,854,1628918,0,0,8
883603,262,837,1627358,0,0,8
885184,257,820,1625798,0,0,8
886765,252,804,1624239,0,0,8
888345,248,788,1622680,0,0,8
889924,244,772,1621121,0,0,8
891502,239,756,1619562,0,0,8
893079,235,741,1618004,0,0,8
894656,231,727,1616446,0,0,8
