(S) Susceptiveis, (E) Expostos, (I) Infectados, (R) Recuperados, (D_E) Expostos detectados, (D_I) Infectados detectados, (M) Mortes
1048868,11465,31941,1419786,0,0,8
1048232,11333,31564,1420931,0,0,8
1047623,11200,31194,1422043,0,0,8
1047041,11065,30829,1423124,0,0,8
1046486,10928,30472,1424174,0,0,8
1045956,10791,30120,1425193,0,0,8
1045451,10654,29773,1426182,0,0,8
1044971,10519,29428,1427142,0,0,8
1044514,10388,29084,1428073,0,0,8
1044080,10263,28739,1428978,0,0,8
1043669,10143,28393,1429854,0,0,8
1043282,10024,28051,1430703,0,0,8
1042917,9906,27713,1431524,0,0,8
1042576,9788,27380,1432316,0,0,8
1042258,9670,27052,1433081,0,0,8
1041962,9551,26729,1433818,0,0,8
1041688,9432,26412,1434528,0,0,8
1041437,9314,26099,1435211,0,0,8
1041207,9196,25790,1435868,0,0,8
1040997,9080,25484,1436499,0,0,8
1040808,8968,25179,1437105,0,0,8
1040639,8860,24874,1437688,0,0,8
1040489,8756,24570,1438246,0,0,8
1040359,8653,24269,1438779,0,0,8
1040248,8552,23972,1439289,0,0,8
1040157,8450,23679,1439773,0,0,8
1040086,8349,23391,1440234,0,0,8
1040034,8247,23109,1440671,0,0,8
1040001,8144,22831,1441084,0,0,8
1039987,8042,22559,1441473,0,0,8
1039990,7939,22290,1441840,0,0,8
1040012,7838,22025,1442184,0,0,8
1040051,7739,21763,1442507,0,0,8
1040107,7643,21501,1442809,0,0,8
1040179,7552,21239,1443090,0,0,8
1040266,7466,20977,1443351,0,0,8
1040370,7382,20716,1443592,0,0,8
1040490,7299,20458,1443813,0,0,8
1040627,7216,20205,1444012,0,0,8
1040780,7132,19958,1444191,0,0,8
1040949,7046,19715,1444349,0,0,8
1041134,6960,19479,1444487,0,0,8
1041335,6872,19249,1444604,0,0,8
1041552,6783,19023,1444702,0,0,8
1041783,6694,18802,1444781,0,0,8
1042029,6607,18583,1444842,0,0,8
1042289,6522,18365,1444885,0,0,8
1042561,6443,18145,1444911,0,0,8
1042846,6370,17923,1444921,0,0,8
1043144,6300,17701,1444915,0,0,8
1043456,6231,17482,1444891,0,0,8
1043781,6162,17268,1444849,0,0,8
1044119,6092,17058,1444791,0,0,8
1044471,6021,16853,1444715,0,0,8
1044836,5949,16653,1444622,0,0,8
1045214,5877,16457,1444513,0,0,8
1045604,5804,16264,1444387,0,0,8
1046006,5733,16074,1444247,0,0,8
1046420,5665,15884,1444091,0,0,8
1046845,5600,15694,1443921,0,0,8
1047280,5538,15505,1443736,0,0,8
1047727,5477,15319,1443537,0,0,8
1048186,5416,15135,1443323,0,0,8
1048655,5355,14955,1443095,0,0,8
1049136,5294,14778,1442852,0,0,8
1049627,5233,14605,1442595,0,0,8
1050129,5171,14435,1442324,0,0,8
1050642,5111,14268,1442040,0,0,8
1051165,5051,14102,1441742,0,0,8
1051697,4993,13939,1441431,0,0,8
1052239,4937,13776,1441108,0,0,8
1052791,4883,13614,1440773,0,0,8
1053351,4830,13454,1440425,0,0,8
1053921,4778,13296,1440065,0,0,8
1054501,4726,13141,1439693,0,0,8
1055090,4673,12988,1439308,0,0,8
1055688,4621,12839,1438912,0,0,8
1056295,4569,12693,1438503,0,0,8
1056910,4517,12549,1438083,0,0,8
1057535,4465,12408,1437652,0,0,8
1058168,4414,12269,1437209,0,0,8
1058809,4364,12131,1436756,0,0,8
1059457,4316,11994,1436293,0,0,8
1060113,4270,11857,1435819,0,0,8
1060777,4226,11721,1435336,0,0,8
1061448,4184,11586,1434842,0,0,8
1062127,4142,11453,1434339,0,0,8
1062814,4099,11322,1433825,0,0,8
1063508,4056,11195,1433301,0,0,8
1064210,4013,11070,1432767,0,0,8
1064919,3969,10949,1432223,0,0,8
1065636,3924,10831,1431670,0,0,8
1066359,3879,10715,1431107,0,0,8
1067090,3834,10602,1430535,0,0,8
1067827,3790,10489,1429954,0,0,8
1068570,3748,10377,1429365,0,0,8
1069319,3709,10264,1428768,0,0,8
1070074,3673,10150,1428163,0,0,8
1070835,3638,10037,1427550,0,0,8
1071602,3604,9925,1426929,0,0,8
1072375,3569,9816,1426300,0,0,8
1073154,3533,9710,1425663,0,0,8
1073940,3498,9606,1425017,0,0,8
1074731,3461,9504,1424363,0,0,8
1075528,3424,9405,1423702,0,0,8
1076331,3388,9308,1423033,0,0,8
1077139,3352,9212,1422357,0,0,8
1077953,3318,9116,1421674,0,0,8
1078771,3286,9019,1420984,0,0,8
1079594,3255,8923,1420288,0,0,8
1080422,3225,8829,1419585,0,0,8
1081255,3194,8736,1418875,0,0,8
1082093,3164,8645,1418158,0,0,8
1082937,3133,8556,1417434,0,0,8
1083785,3102,8469,1416704,0,0,8
1084637,3071,8383,1415968,0,0,8
1085495,3041,8299,1415225,0,0,8
1086357,3011,8216,1414476,0,0,8
1087223,2981,8134,1413722,0,0,8
1088093,2953,8052,1412961,0,0,8
1088968,2927,7970,1412196,0,0,8
1089846,2901,7889,1411424,0,0,8
1090729,2875,7810,1410647,0,0,8
1091615,2849,7732,1409864,0,0,8
1092506,2823,7655,1409076,0,0,8
1093401,2796,7580,1408283,0,0,8
1094300,2770,7507,1407483,0,0,8
1095203,2743,7435,1406679,0,0,8
1096109,2717,7364,1405870,0,0,8
1097019,2691,7295,1405055,0,0,8
1097932,2666,7226,1404236,0,0,8
1098849,2642,7157,1403412,0,0,8
1099769,2619,7088,1402584,0,0,8
1100692,2598,7019,1401752,0,0,8
1101618,2577,6950,1400915,0,0,8
1102547,2556,6883,1400073,0,0,8
1103480,2535,6818,1399227,0,0,8
1104416,2513,6754,1398377,0,0,8
1105356,2491,6692,1397522,0,0,8
1106298,2468,6631,1396662,0,0,8
1107244,2445,6572,1395798,0,0,8
1108193,2422,6515,1394930,0,0,8
1109145,2399,6458,1394058,0,0,8
1110099,2377,6402,1393183,0,0,8
1111055,2356,6345,1392304,0,0,8
1112014,2337,6287,1391421,0,0,8
1112975,2320,6229,1390536,0,0,8
1113939,2302,6172,1389647,0,0,8
1114905,2285,6116,1388754,0,0,8
1115874,2267,6061,1387857,0,0,8
1116846,2249,6008,1386957,0,0,8
1117820,2231,5956,1386053,0,0,8
1118797,2212,5905,1385146,0,0,8
1119776,2193,5856,1384236,0,0,8
1120757,2174,5807,1383322,0,0,8
1121740,2156,5758,1382405,0,0,8
1122725,2139,5710,1381486,0,0,8
1123712,2124,5660,1380564,0,0,8
1124701,2108,5612,1379639,0,0,8
1125692,2093,5564,1378711,0,0,8
1126685,2078,5517,1377780,0,0,8
1127680,2062,5471,1376847,0,0,8
1128677,2046,5427,1375910,0,0,8
1129676,2031,5383,1374971,0,0,8
1130677,2015,5340,1374029,0,0,8
1131679,1999,5298,1373084,0,0,8
1132684,1983,5256,1372137,0,0,8
1133689,1969,5214,1371188,0,0,8
1134697,1955,5172,1370236,0,0,8
1135705,1942,5130,1369283,0,0,8
1136716,1929,5089,1368327,0,0,8
1137728,1915,5049,1367368,0,0,8
1138741,1902,5009,1366407,0,0,8
1139756,1889,4971,1365444,0,0,8
1140772,1875,4933,1364479,0,0,8
1141790,1862,4896,1363512,0,0,8
1142810,1848,4860,1362542,0,0,8
1143831,1834,4825,1361571,0,0,8
1144853,1821,4789,1360597,0,0,8
1145876,1808,4754,1359622,0,0,8
1146900,1796,4719,1358645,0,0,8
1147925,1785,4683,1357667,0,0,8
1148951,1775,4648,1356686,0,0,8
1149979,1764,4613,1355704,0,0,8
1151007,1754,4579,1354721,0,0,8
1152037,1743,4546,1353735,0,0,8
1153068,1731,4513,1352748,0,0,8
1154100,1720,4482,1351758,0,0,8
1155133,1708,4452,1350767,0,0,8
1156167,1696,4422,1349775,0,0,8
1157202,1683,4394,1348781,0,0,8
1158238,1671,4365,1347785,0,0,8
1159275,1660,4336,1346789,0,0,8
1160312,1650,4307,1345791,0,0,8
1161350,1641,4277,1344792,0,0,8
1162389,1633,4247,1343792,0,0,8
1163428,1624,4217,1342791,0,0,8
1164468,1615,4189,1341788,0,0,8
1165509,1606,4161,1340784,0,0,8
1166551,1597,4134,1339778,0,0,8
1167593,1587,4108,1338772,0,0,8
1168637,1577,4083,1337764,0,0,8
1169681,1567,4058,1336755,0,0,8
1170725,1557,4033,1335744,0,0,8
1171770,1548,4008,1334733,0,0,8
1172815,1540,3983,1333722,0,0,8
1173861,1533,3957,1332709,0,0,8
1174907,1525,3932,1331696,0,0,8
1175954,1517,3908,1330681,0,0,8
1177001,1509,3884,1329665,0,0,8
1178049,1501,3861,1328649,0,0,8
1179097,1493,3838,1327632,0,0,8
1180145,1485,3816,1326613,0,0,8
1181195,1477,3795,1325594,0,0,8
1182244,1469,3773,1324574,0,0,8
1183294,1461,3752,1323554,0,0,8
1184343,1454,3731,1322533,0,0,8
1185393,1447,3709,1321511,0,0,8
1186443,1440,3688,1320489,0,0,8
1187494,1434,3667,1319466,0,0,8
1188545,1427,3646,1318442,0,0,8
1189596,1421,3626,1317418,0,0,8
1190647,1414,3606,1316393,0,0,8
1191698,1407,3588,1315367,0,0,8
1192750,1400,3569,1314341,0,0,8
1193802,1393,3551,1313314,0,0,8
1194854,1385,3533,1312287,0,0,8
1195906,1379,3516,1311260,0,0,8
1196958,1372,3498,1310232,0,0,8
1198010,1367,3480,1309204,0,0,8
1199062,1362,3461,1308175,0,0,8
1200113,1357,3443,1307147,0,0,8
1201165,1352,3425,1306118,0,0,8
1202217,1347,3408,1305088,0,0,8
1203269,1341,3391,1304058,0,0,8
1204321,1335,3375,1303028,0,0,8
1205374,1329,3360,1301997,0,0,8
1206426,1323,3345,1300966,0,0,8
1207478,1316,3331,1299935,0,0,8
1208530,1310,3317,1298903,0,0,8
1209582,1304,3303,1297871,0,0,8
1210634,1299,3288,1296840,0,0,8
1211685,1294,3273,1295808,0,0,8
1212735,1291,3257,1294777,0,0,8
1213786,1287,3241,1293745,0,0,8
1214837,1284,3226,1292713,0,0,8
1215887,1280,3212,1291681,0,0,8
1216937,1275,3198,1290649,0,0,8
1217988,1271,3185,1289617,0,0,8
1219038,1265,3173,1288584,0,0,8
1220088,1260,3161,1287551,0,0,8
1221138,1254,3150,1286519,0,0,8
1222187,1248,3139,1285486,0,0,8
1223236,1243,3127,1284453,0,0,8
1224285,1240,3115,1283421,0,0,8
1225333,1237,3102,1282389,0,0,8
1226380,1234,3089,1281357,0,0,8
1227427,1231,3076,1280326,0,0,8
1228474,1228,3064,1279294,0,0,8
1229521,1225,3052,1278262,0,0,8
1230567,1221,3042,1277230,0,0,8
1231613,1217,3031,1276199,0,0,8
1232659,1212,3021,1275167,0,0,8
1233705,1208,3012,1274136,0,0,8
1234750,1204,3002,1273104,0,0,8
1235794,1200,2993,1272073,0,0,8
1236837,1197,2982,1271043,0,0,8
1237881,1195,2972,1270013,0,0,8
1238923,1192,2961,1268983,0,0,8
1239965,1190,2951,1267953,0,0,8
1241007,1187,2942,1266924,0,0,8
1242049,1184,2933,1265895,0,0,8
1243089,1181,2924,1264866,0,0,8
1244130,1178,2916,1263837,0,0,8
1245170,1175,2907,1262808,0,0,8
1246209,1171,2899,1261780,0,0,8
1247248,1169,2891,1260752,0,0,8
1248286,1166,2883,1259725,0,0,8
1249323,1164,2874,1258698,0,0,8
1250359,1162,2866,1257672,0,0,8
1251396,1160,2858,1256646,0,0,8
1252431,1158,2850,1255621,0,0,8
1253466,1156,2843,1254595,0,0,8
1254500,1154,2836,1253570,0,0,8
1255534,1151,2829,1252546,0,0,8
1256567,1148,2823,1251522,0,0,8
1257600,1146,2816,1250498,0,0,8
1258631,1143,2810,1249475,0,0,8
1259662,1141,2804,1248453,0,0,8
1260693,1140,2797,1247431,0,0,8
1261722,1138,2790,1246409,0,0,8
1262751,1137,2784,1245389,0,0,8
1263779,1136,2777,1244368,0,0,8
1264806,1135,2771,1243349,0,0,8
1265832,1133,2765,1242330,0,0,8
1266858,1131,2760,1241311,0,0,8
1267883,1129,2755,1240292,0,0,8
1268908,1127,2750,1239275,0,0,8
1269932,1125,2746,1238258,0,0,8
1270955,1123,2741,1237241,0,0,8
1271977,1121,2737,1236225,0,0,8
1272998,1120,2733,1235210,0,0,8
1274018,1119,2728,1234196,0,0,8
1275037,1118,2722,1233182,0,0,8
1276055,1118,2717,1232169,0,0,8
1277073,1118,2712,1231157,0,0,8
1278090,1118,2707,1230145,0,0,8
1279106,1117,2703,1229134,0,0,8
1280121,1116,2699,1228124,0,0,8
1281135,1115,2696,1227114,0,0,8
1282149,1113,2694,1226105,0,0,8
1283162,1111,2691,1225096,0,0,8
1284174,1109,2689,1224088,0,0,8
1285185,1107,2687,1223081,0,0,8
1286194,1106,2684,1222075,0,0,8
1287203,1106,2681,1221070,0,0,8
1288211,1106,2677,1220066,0,0,8
1289217,1106,2674,1219062,0,0,8
1290223,1106,2671,1218059,0,0,8
1291228,1106,2669,1217057,0,0,8
1292232,1106,2666,1216056,0,0,8
1293235,1106,2664,1215056,0,0,8
